"","trip","real","normal","normal_F","normal_5","normal_95","t","frequency"
"108",1100,1886.0490000248,2575.23294547,2841.14056951634,2598.22512642234,2161.86441704711,2114.0099460547,2836.38326664054
"109",1106,1017.56599998474,1416.19088891759,1378.32918703959,1484.62651718518,2780.37632523485,3030.63770732976,1830.22045865407
"110",1111,2208,2690.21830959934,2787.64515893957,2594.75860216012,3014.63623536272,2024.39223859405,2389.33723063735
"111",1113,1213,1614.96061042777,1745.51816438274,1271.35119474043,2456.88911470474,2376.5583806774,813.940964469931
"112",1131,1869,2122.01977705547,2019.54012800554,2024.50466170251,2515.98759299544,2473.0910382765,1267.2306004082
"113",1172,405.509000062943,387.819058265713,206.606637962364,576.186831109653,630.308448676635,22616.2322593886,1747.4758457668
"114",1186,1485,1640.50975189451,1763.92036534639,1541.0935438117,1771.73784438902,2937.29254117987,1484.14408615224
"115",1206,874,956.882619459135,1057.48347915041,894.031811345564,905.381706438666,2109.77926929904,1394.61848980143
"116",1235,1978.7349998951,2207.97825817075,2556.22882196332,1899.24275856117,1882.67660727188,2736.76953288691,1619.93711743361
"117",1239,1698,1341.64950161853,1345.4326424828,1011.15047947353,880.187343663443,928.901637970969,2992.01791371179
"118",1241,1043.10599994659,943.056685625934,1157.13906843451,865.181507905149,1223.71874306906,2611.59605568964,1506.12290587291
"119",1258,1611,2130.73013137396,2112.73209798358,2027.63246538522,2289.93917274432,4722.00250771138,1951.70012323599
"120",1296,1428.4960000515,1169.9993273148,10451.7236527063,1197.06454386765,1057.57899899435,6304.60210172974,15810.4082614232
"121",1303,3000,2977.0303369397,2761.64625701339,3209.78316848038,3248.03811259839,769.402653906035,1741.92670251068
"122",1315,680.335999965668,517.650887592614,656.890698332663,827.561042554103,515.950204796491,4191.38865197796,329.020850916636
"123",1321,2482,2162.48706585055,2019.45424909019,2155.72597670535,2339.36835127236,2740.70759348238,1249.4197602986
"124",1322,1333.11299991608,1174.67317516535,1137.28821435733,1135.95629601187,1378.8713704461,2140.16669215658,777.857485982483
"125",1329,902,1061.78908560932,1124.41231403802,923.58909048441,1407.97417641519,2682.91661729205,1560.0526074228
"126",1336,841,880.033790977928,4440.34836075494,1247.6322781827,851.232870399291,5775.1949301072,856.507763377504
"127",1343,1502.3109998703,1421.58112960307,1666.00148559785,1242.81976778619,1565.79942949012,1051.52422875444,1972.8665987539
"128",1379,1133,946.187085136817,1463.60310555062,836.004480083284,1223.43248116919,1167.1314422125,647.489347348892
"129",1382,2528.31599998474,1810.26183432513,3281.39964037273,2517.13862828302,1901.52180842088,944.502996521327,1227.52935169693
"130",1390,2443.53299999237,1891.69351540208,1957.24323161368,1821.25514151708,1973.52393076888,15574.1510899204,2248.77527943742
"131",1398,2327.11199998856,1577.14166767046,1304.5211585524,1818.61931458706,1653.18949036258,584.565625245761,687.528498505334
"132",1399,1342.74799990654,1356.5945548004,1542.40540947191,1479.35661172414,1237.61334608269,129.422451149917,1862.62933450076
"133",1411,1336.30200004578,1233.27285443007,1362.37522089173,1321.46675350966,1240.74272889266,3570.4504982908,1903.2842171624
"134",1438,990,745.674000480414,1503.9792283965,825.457919211558,1426.11665156483,1424.2287062843,485.262754817961
"135",1455,1731.77099990845,1140.99538546623,4703.1921183707,1488.29379381673,1320.94548331312,2044.60610540264,1040.12470566862
"136",1456,739,811.870891481798,757.312082490083,706.00162373799,1459.58296033819,55.6757550824919,2244.78465924716
"137",1462,1940.79500007629,1868.7082104879,1911.11424570715,1395.30142442509,1381.19543758815,693.124893758779,1020.6829025742
"138",1469,733.802000045776,983.665590317485,958.622346452131,804.911795351062,797.686139295268,1399.29041483874,777.565342066928
"139",1482,142,241.398293742014,131.956830152231,222.052306754014,255.439913077658,2640.69646100751,2626.90282732512
"140",1485,1147,1299.37573256269,1468.58061389092,1123.57601301993,1458.71425897925,521.255219834637,909.942421870204
"141",1508,1046,850.514913657361,920.8803383018,1156.27289205122,766.249224786646,1841.80623238059,922.011920736159
"142",1521,1301.00199985504,1788.62883556385,1820.91726743499,1579.66563598848,1497.03046108622,1264.63272309064,3519.75452282359
"143",1524,1405.11800003052,1334.19376745226,1426.94118538798,1563.5138641284,1412.06309809268,9219.2907568073,1939.46965748129
"144",1525,2726,1797.66954146357,2459.49971914365,1961.68573337707,3041.53558943021,507.30413571369,1553.75514394516
"145",1527,2344.26999998093,2180.60020351775,2618.0207038761,2264.6805454927,2032.67201524861,1168.92354611597,1094.28376589484
"146",1546,1376,1328.16475608134,1447.39038176086,1556.61305378051,1134.11191745167,1629.33403702801,864.989697095162
"147",1552,1497.53900003433,2102.93949866449,2411.37733345734,1452.45330749275,39432.2688113586,2077.56831238686,1485.98957880278
"148",1560,1069.03600001335,1127.38795398059,1247.25241694926,1088.24183856449,1701.24987432989,3320.18887989817,2534.26700001063
"149",1617,1234.32999992371,1189.22571662555,1231.94033949994,1048.4562598999,1158.47370942924,1199.6720572612,1718.8219537867
"150",1622,1516.92700004578,1772.43056397367,2179.11814337758,2400.30709214246,1593.49575924879,1666.99450307945,227.675236330058
"151",1628,683,738.544991950104,828.121949479402,688.876463120213,910.483885103843,1733.10288300195,1277.31219675275
"152",1651,1688,1843.19335243112,3589.01405016167,1711.87875096018,1262.53937676995,44918.3210245056,1058.84197440061
"153",1664,1901,1928.58823417507,2142.71386840686,2077.07330142763,1967.83581352362,675.829754164042,3756.29762058443
"154",1666,754,882.88939189063,1165.49674904174,759.645614480267,862.31065718814,725.735436115526,1560.19070721819
"155",1684,1563.25300002098,874.717134888996,2101.16488058071,1097.73509923298,1547.83178065772,7130.76973775459,1758.05441099819
"156",1685,709.598999977112,731.876808153366,937.546246796163,693.593770987924,506.190817570592,2320.55000793919,1485.64213482459
"157",1686,2438,1914.49415954255,4806.24772257012,1518.25979776707,1523.11914301214,2261.86764782836,1173.03350875112
"158",1695,751,753.631069343841,750.87354051407,666.798065607751,648.818721596601,1046.75696955763,3357.25481129533
"159",1705,1801,1256.80605554647,1189.92606466862,1061.50028756169,1205.88441092216,1497.94150926871,3524.83822840696
"160",1710,1667.16000008583,1669.88725051738,2142.2988948337,1810.41060769282,1591.38420706801,418.023899831626,2449.80356260805
"161",1713,555,512.33846634551,508.879934631766,597.506033674475,472.860574985337,1284.97344249578,1850.92377138419
"162",1725,1077.64400005341,1242.36701141818,1149.23698471025,1125.60289188437,1265.66319034925,1457.01921821056,1340.86841982656
"163",1728,236,206.489337127224,415.441361173588,152.585700007786,168.111090325496,769.874172227918,1859.47534659811
"164",1751,909.092000007629,1181.53816659331,1207.74559809471,1004.3179153252,1108.95528139125,1774.72750064648,621.19819943666
"165",1757,1067.02699995041,1102.31459629901,1236.46735177572,1139.91839303288,1070.66555931584,1812.04137266527,2355.73888194904
"166",1764,813,887.571421636348,958.268777065572,1158.84541006368,1087.15553334879,643.77005055266,930.999234837688
"167",1773,1255,1075.7989205553,1097.82229146117,1073.87509208484,1027.63998981311,2256.01327051175,1365.25939299353
"168",1803,1082,1004.63254254356,978.735182763109,899.151399671136,3215.78137314668,13064.8210111085,1587.69943181813
"169",1804,778.911999940872,734.05243669449,760.636486113012,827.735205846464,666.610272331566,1463.00321433871,2144.55822551205
"170",1811,2130,2095.4605305271,3409.69831509568,2319.93700206763,1946.4662467737,9775.68992983005,1227.13604105812
"171",1826,710.991999864578,505.584850888297,630.322858005789,591.358822486577,528.337272146307,1666.98268046337,2511.297916063
"172",1840,1317.92199993134,1109.7196690043,956.063562877152,1520.81863874636,1710.84272163253,3085.87631231225,844.853201643131
"173",1857,106,135.361064245498,118.277380371365,134.08754728508,91.6092152445612,1937.07815750106,385.171895271014
"174",1859,960,828.740861088777,1484.58883349562,937.587085981039,871.324209229957,1289.30338297537,1038.94275283926
"175",1867,1078,1232.28737336129,1108.90703430555,1323.62923333285,1251.24709872202,865.734981694287,582.597967865959
"176",1938,195,177.487752871106,192.173038887106,207.846453255949,607.81770166766,1377.2179783989,132.81223863475
"177",1953,1043.98099994659,7514.98234294723,1357.2355014634,1202.38455857977,1065.33408911571,3277.97469782867,371.849709306822
"178",1956,913.964999914169,1335.5007187469,1732.7966605332,1632.3760248176,978.469413155969,1565.30222482872,2077.97650873495
"179",1963,1097,1272.01683350553,1924.75827962589,1195.0727015136,1326.36068627239,2270.16703037529,656.696380281559
"180",1995,1147,1021.97765264331,2413.21183866765,969.105771458848,1574.56575891765,1919.57928854444,1223.47273317272
"181",2004,2731.46399998665,2588.74868795768,2800.31614109518,2708.97259303555,2959.35532669032,1357.87436098115,1213.76196150987
"182",2010,727,842.976763614517,658.207570992231,850.947732426274,948.307377813135,9782.85042503283,2564.86225486616
"183",2044,2859,2961.80115438512,3019.33806843053,2510.46433181434,2458.99210172356,153.088519407185,1771.22426455279
"184",2058,615.677999973297,619.091531655886,605.420805548715,610.025906604766,637.264430358028,1007.80483778327,1446.47921257946
"185",2067,1427,1771.53522423721,2609.90481349626,1780.02905039798,1866.79306554441,295.031070668278,1933.95157450347
